C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_dragonkin.py:56: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat = bpy.data.materials.new('M_' + UID); mat.use_nodes = True
02:04.203  render           | Video append frame 47
02:04.219  render           | Video append frame 48
02:04.250  render           | Video append frame 49
02:04.282  render           | Video append frame 50
02:04.297  render           | Video append frame 51
02:04.344  render           | Video append frame 52
02:04.360  render           | Video append frame 53
02:04.391  render           | Video append frame 54
02:04.422  render           | Video append frame 55
02:04.453  render           | Video append frame 56
02:04.469  render           | Video append frame 57
02:04.500  render           | Video append frame 58
02:04.532  render           | Video append frame 59
02:04.563  render           | Video append frame 60
02:04.594  render           | Video append frame 61
02:04.641  render           | Video append frame 1
02:04.657  render           | Video append frame 2
02:04.688  render           | Video append frame 3
02:04.703  render           | Video append frame 4
02:04.735  render           | Video append frame 5
02:04.766  render           | Video append frame 6
02:04.797  render           | Video append frame 7
02:04.828  render           | Video append frame 8
02:04.860  render           | Video append frame 9
02:04.875  render           | Video append frame 10
02:04.907  render           | Video append frame 11
02:04.938  render           | Video append frame 12
02:04.953  render           | Video append frame 13
02:04.985  render           | Video append frame 14
02:05.016  render           | Video append frame 15
02:05.047  render           | Video append frame 16
02:05.063  render           | Video append frame 17
02:05.094  render           | Video append frame 18
02:05.125  render           | Video append frame 19
02:05.141  render           | Video append frame 20
02:05.172  render           | Video append frame 21
02:05.203  render           | Video append frame 22
02:05.235  render           | Video append frame 23
02:05.250  render           | Video append frame 24
02:05.282  render           | Video append frame 25
02:05.297  render           | Video append frame 26
02:05.328  render           | Video append frame 27
02:05.344  render           | Video append frame 28
02:05.375  render           | Video append frame 29
02:05.422  render           | Video append frame 30
02:05.438  render           | Video append frame 31
02:05.469  render           | Video append frame 32
02:05.500  render           | Video append frame 33
02:05.532  render           | Video append frame 34
02:05.563  render           | Video append frame 35
02:05.594  render           | Video append frame 36
02:05.625  render           | Video append frame 37
02:05.641  render           | Video append frame 38
02:05.672  render           | Video append frame 39
02:05.688  render           | Video append frame 40
02:05.719  render           | Video append frame 41
02:05.750  render           | Video append frame 42
02:05.766  render           | Video append frame 43
02:05.797  render           | Video append frame 44
02:05.828  render           | Video append frame 45
02:05.844  render           | Video append frame 46
02:05.875  render           | Video append frame 47
02:05.891  render           | Video append frame 48
02:05.922  render           | Video append frame 49
02:05.938  render           | Video append frame 50
02:05.969  render           | Video append frame 51
02:05.985  render           | Video append frame 52
02:06.016  render           | Video append frame 53
02:06.047  render           | Video append frame 54
02:06.063  render           | Video append frame 55
02:06.094  render           | Video append frame 56
02:06.110  render           | Video append frame 57
02:06.141  render           | Video append frame 58
02:06.172  render           | Video append frame 59
02:06.203  render           | Video append frame 60
02:06.219  render           | Video append frame 61
02:06.250  render           | Video append frame 62
02:06.282  render           | Video append frame 63
02:06.297  render           | Video append frame 64
02:06.328  render           | Video append frame 65
02:06.344  render           | Video append frame 66
02:06.375  render           | Video append frame 67
02:06.407  render           | Video append frame 68
02:06.438  render           | Video append frame 69
02:06.453  render           | Video append frame 70
02:06.485  render           | Video append frame 71
