fight,side,unit_id,instance,focus,alive,health,max_health,alive_ms,moving_ms,stunned_ms,shield_present_ms,positive_rate_modifier_ms,negative_rate_modifier_ms,basic_actions,active_actions,damage_basic_hp100,damage_skill_hp100,healing_hp100,shield_granted_hp100,shield_absorbed_hp100,overkill_hp100,applied_stun_packet_ms,dash_events,rate_modifier_events,received_healing_hp100,received_damage_hp100
1,1,wc_u_elf_mage,3145734,0,0,0,69000,22150,1000,0,0,0,0,14,2,57458,5455,0,0,0,0,2500,0,0,0,69000
2,0,wc_u_human_warrior,4194305,0,0,0,98000,9900,0,1000,0,0,0,7,1,42273,11613,0,0,0,0,0,0,0,0,98000
2,0,wc_u_dwarf_warrior,4194306,0,0,0,100000,15350,0,2500,0,0,0,8,2,47948,27397,0,0,0,0,0,0,0,0,100000
2,0,wc_u_orc_warrior,4194307,0,0,0,95000,17950,2850,0,0,6000,0,13,2,79506,0,0,0,0,0,0,0,2,0,95000
2,0,wc_u_halfling_warrior,4194308,0,0,0,76000,13100,2550,0,2800,0,0,8,2,33664,0,0,30000,30000,0,0,0,0,0,76000
2,0,wc_u_dragonkin_guardian,4194309,0,0,0,118000,6150,0,2250,1200,0,0,2,1,6400,0,0,24000,24000,0,0,0,0,0,118000
2,0,wc_u_elf_mage,4194310,0,0,0,69000,20300,1000,0,0,0,0,14,2,54210,2981,0,0,0,5532,1250,0,0,0,69000
2,1,wc_u_human_guardian,5242881,0,0,0,115500,7950,0,1250,1600,0,0,4,1,11384,0,0,20000,20000,0,0,0,0,0,115500
2,1,wc_u_dwarf_guardian,5242882,0,0,0,110000,14850,0,0,0,0,0,9,2,24382,0,0,0,0,0,4000,0,0,0,110000
2,1,wc_u_human_mage,5242883,0,1,21976,68200,20450,1000,0,0,0,0,12,2,39295,82421,0,0,0,10085,0,0,0,0,46224
2,1,wc_u_orc_mage,5242884,0,1,75000,75000,20450,1000,0,0,0,0,13,2,54408,178612,0,0,0,7606,0,0,0,0,0
2,1,wc_u_elf_mage,5242885,1,1,34732,69000,20450,0,0,0,0,0,12,2,43670,11381,0,0,0,0,2500,0,0,0,34268
2,1,wc_u_halfling_mage,5242886,0,1,57000,57000,20450,900,0,0,0,0,13,3,37268,73179,0,0,0,11621,0,0,0,0,0
3,0,wc_u_human_guardian,6291457,0,0,0,115500,10650,0,1250,1700,0,0,7,1,26768,0,0,20000,20000,0,0,0,0,0,115500
3,0,wc_u_dwarf_guardian,6291458,0,0,0,110000,14950,0,100,0,0,0,9,2,27350,0,0,0,0,0,4000,0,0,0,110000
3,0,wc_u_human_mage,6291459,0,0,0,68200,14200,0,0,0,0,0,9,2,29500,39654,0,0,0,15129,0,0,0,0,68200
3,0,wc_u_orc_mage,6291460,0,1,22088,75000,38750,1000,1250,0,0,0,24,4,82577,161294,0,0,0,7819,0,0,0,0,52912
3,0,wc_u_elf_mage,6291461,1,0,0,69000,28850,0,1250,0,0,0,17,2,59996,14940,0,0,0,0,2500,0,0,0,69000
3,0,wc_u_halfling_mage,6291462,0,0,0,57000,21350,0,0,0,0,0,15,3,48181,65740,0,0,0,0,0,0,0,0,57000
3,1,wc_u_human_warrior,7340033,0,0,0,98000,28850,2000,2000,0,0,0,18,4,125356,42483,0,0,0,18447,0,0,0,0,98000
3,1,wc_u_dwarf_warrior,7340034,0,0,0,100000,13100,0,1000,0,0,0,9,1,54407,12329,0,0,0,0,0,0,0,0,100000
3,1,wc_u_orc_warrior,7340035,0,0,0,95000,5100,0,400,0,1200,0,4,1,16641,0,0,0,0,0,0,0,1,0,95000
3,1,wc_u_halfling_warrior,7340036,0,0,0,76000,22550,3400,1250,6450,0,0,15,3,93272,0,0,45000,38636,3300,0,0,0,0,76000
3,1,wc_u_dragonkin_guardian,7340037,0,0,0,118000,10850,0,1000,1500,0,0,6,1,16000,0,0,24000,24000,0,0,0,0,0,118000
