seed,round,pvp_round_index,kind,wave_id,seat_a,seat_b,winner,ticks,timeout,survivors_a,survivors_b
3,4,1,0,,4,6,0,800,1,2,1
3,5,1,2,wc_wave_05,0,-1,0,243,0,5,0
3,5,1,2,wc_wave_05,1,-1,0,186,0,5,0
3,5,1,2,wc_wave_05,2,-1,0,242,0,5,0
3,5,1,2,wc_wave_05,3,-1,0,219,0,5,0
3,5,1,2,wc_wave_05,4,-1,0,227,0,5,0
3,5,1,2,wc_wave_05,5,-1,0,221,0,5,0
3,5,1,2,wc_wave_05,6,-1,0,237,0,5,0
3,5,1,2,wc_wave_05,7,-1,0,173,0,5,0
3,6,2,0,,0,3,0,558,0,3,0
3,6,2,0,,1,6,1,800,1,1,1
3,6,2,0,,2,4,1,749,0,0,2
3,6,2,0,,5,7,0,747,0,3,0
3,7,3,0,,0,1,0,545,0,4,0
3,7,3,0,,2,7,1,674,0,0,4
3,7,3,0,,3,4,1,647,0,0,4
3,7,3,0,,5,6,0,488,0,5,0
3,8,4,0,,0,6,0,668,0,4,0
3,8,4,0,,1,4,0,557,0,4,0
3,8,4,0,,2,5,1,668,0,0,4
3,8,4,0,,3,7,1,394,0,0,6
3,9,5,0,,0,4,0,658,0,4,0
3,9,5,0,,1,2,0,800,1,2,1
3,9,5,0,,3,5,1,431,0,0,6
3,9,5,0,,6,7,1,530,0,0,5
3,10,5,2,wc_wave_10,0,-1,0,282,0,6,0
