00:16.656  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Move_030.png'
00:16.688  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Move_061.png'
00:16.735  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Attack_001.png'
00:16.781  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Attack_016.png'
00:16.828  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Attack_022.png'
00:16.860  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Attack_023.png'
00:16.906  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Attack_046.png'
00:16.938  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Active_001.png'
00:16.985  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Active_010.png'
00:17.016  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Active_016.png'
00:17.047  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Active_017.png'
00:17.094  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Active_034.png'
00:17.141  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Hit_001.png'
00:17.172  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Hit_006.png'
00:17.235  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Hit_008.png'
00:17.266  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Hit_012.png'
00:17.313  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Hit_025.png'
00:17.360  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Defeat_001.png'
00:17.406  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Defeat_020.png'
00:17.453  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Defeat_024.png'
00:17.485  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Defeat_030.png'
00:17.531  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Defeat_061.png'
00:17.578  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Victory_001.png'
00:17.625  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Victory_030.png'
00:17.672  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Victory_039.png'
00:17.719  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Victory_045.png'
00:17.766  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T141653Z-orcs\rok-candidate02\workbench-review\pose_Victory_091.png'
{
  "status": "structural_checks_passed_visual_review_required",
  "blender_version": "5.1.1",
  "collection": "EXPORT",
  "evaluated_triangle_total": 5462,
  "objects": [
    {
      "name": "Armature",
      "type": "ARMATURE",
      "scale": [
        1.0,
        1.0,
        1.0
      ],
      "dimensions": [
        1.5882967710494995,
        0.5099999904632568,
        2.193000078201294
      ],
      "roots": [
        "root"
      ],
      "deform_bones": 27
    },
    {
      "name": "SK_wc_u_orc_warrior",
      "type": "MESH",
      "scale": [
        1.0,
        1.0,
        1.0
      ],
      "dimensions": [
        2.029764175415039,
        0.718086838722229,
        2.1332571506500244
      ],
      "evaluated_triangles": 5462,
      "material_slots": 1,
      "uv_layers": 1,
      "skin_checks": {
        "unweighted": 0,
        "excess_influences": 0,
        "unnormalized": 0
      }
    }
  ],
  "errors": [],
  "warnings": [],
  "not_checked": [
    "appearance",
    "deformation across all clips",
    "UV overlap appropriateness",
    "normal-map convention",
    "Unreal import",
    "LOD silhouette",
    "gameplay readability"
  ]
}
WC_ORC_NATIVE_FRAME_REVIEW_RENDERED wc_u_orc_warrior
Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)

Blender quit
