wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters
8.950216,1,4,10,38,4,16.666901,126.435204,4.791400,152.371201,1,41694,41694,0,0
8.966836,1,4,10,38,4,16.667002,2.723700,3.380500,9.927700,1,41694,41694,0,0
8.983661,1,4,10,38,4,16.666800,2.296200,4.536000,16.187401,1,41694,41694,0,0
9.000169,1,4,10,38,4,16.666800,2.641200,3.684200,16.859100,1,41694,41694,0,0
9.016826,1,4,10,38,4,16.666800,2.133200,3.070100,16.288799,1,41694,41694,0,0
9.038198,1,4,10,37,4,16.666800,1.994100,3.333400,16.910299,1,42400,42400,0,0
9.050143,1,4,9,37,4,16.666800,7.283300,3.869100,21.945400,1,42400,42400,0,0
9.066888,1,4,9,37,4,16.667002,2.091400,3.923700,11.180000,1,42400,42400,0,0
9.083454,1,4,9,37,4,16.666698,3.149500,3.403200,17.549299,1,42400,42400,0,0
9.100167,1,4,9,37,4,16.666901,2.236000,3.338200,15.875100,1,42400,42400,0,0
9.116842,1,4,9,37,4,16.666800,2.179900,4.405900,16.735201,1,42400,42400,0,0
9.138867,1,4,9,37,4,16.667002,2.103100,3.720000,16.667700,1,40587,40587,0,0
9.150135,1,4,9,37,4,16.666901,11.423000,4.510700,26.010599,1,40587,40587,0,0
9.166852,1,4,9,37,4,16.667002,2.421500,3.786700,8.010800,1,40587,40587,0,0
9.183532,1,4,9,37,4,16.666901,2.338500,4.168800,15.875000,1,40587,40587,0,0
9.200255,1,4,9,37,4,16.666800,2.392500,3.177000,16.674801,1,40587,40587,0,0
9.216843,1,4,9,37,4,16.667097,2.160000,3.270300,16.715799,1,40587,40587,0,0
9.238136,1,4,9,37,4,16.667002,2.138800,3.411200,16.739300,1,38771,38771,0,0
9.250161,1,4,9,37,4,16.666698,7.204400,3.782700,21.680201,1,38771,38771,0,0
9.266934,1,4,9,37,4,16.666800,2.156700,3.290600,11.474900,1,38771,38771,0,0
9.283495,1,4,9,37,4,16.666901,2.190900,3.109400,16.783400,1,38771,38771,0,0
9.300166,1,4,9,37,4,16.666800,1.900300,3.224000,16.709600,1,38771,38771,0,0
9.316791,1,4,9,37,4,16.666901,2.187400,3.233300,16.529400,1,38771,38771,0,0
9.338125,1,4,9,35,4,16.667101,1.930300,3.045900,16.572399,1,38810,38810,0,0
9.350154,1,4,9,35,4,16.666901,7.021900,3.452900,22.379601,1,38810,38810,0,0
9.366843,1,4,9,35,4,16.666698,2.345900,3.544400,11.220900,1,38810,38810,0,0
9.383466,1,4,9,35,4,16.666901,2.107800,3.877700,16.460800,1,38810,38810,0,0
9.400217,1,4,9,35,4,16.666698,2.014300,3.300200,16.645201,1,38810,38810,0,0
9.416842,1,4,9,35,4,16.666901,1.914800,3.301000,16.863199,1,38810,38810,0,0
9.438234,1,4,9,33,4,16.666901,2.167300,3.671200,16.650200,1,39383,39383,0,0
9.450156,1,4,9,33,4,16.666901,7.548600,3.657100,21.995600,1,39383,39383,0,0
9.466869,1,4,9,33,4,16.666698,1.928100,3.225300,11.234300,1,39383,39383,0,0
9.483507,1,4,9,33,4,16.666800,2.093000,3.241200,16.925699,1,39383,39383,0,0
9.500145,1,4,9,33,4,16.666698,2.422400,3.869500,16.479200,1,39383,39383,0,0
9.516927,1,4,9,33,4,16.666800,2.278400,3.520600,16.582600,1,39383,39383,0,0
9.538872,1,4,9,32,4,16.666800,2.402000,3.411400,16.864300,1,40041,40041,0,0
9.550213,1,4,8,32,4,16.667002,8.465700,5.725100,22.915100,1,40041,40041,0,0
9.567028,1,4,8,32,4,16.667002,2.893000,4.192300,10.527700,1,40041,40041,0,0
9.583576,1,4,8,32,4,16.666800,2.921200,6.155900,16.990200,1,40041,40041,0,0
9.600200,1,4,8,32,4,16.666800,2.863700,5.301900,16.348200,1,40041,40041,0,0
9.616898,1,4,8,32,4,16.667198,2.429100,3.814600,16.515100,1,40041,40041,0,0
9.638702,1,4,8,30,4,16.667002,2.288900,4.347300,16.703400,1,37457,37457,0,0
9.650230,1,4,8,30,4,16.666901,8.304000,3.961300,22.698000,1,37457,37457,0,0
9.666952,1,4,8,30,4,16.666698,6.183400,4.456200,14.271500,1,37457,37457,0,0
9.683493,1,4,8,30,4,16.666800,2.597900,3.431700,13.336600,1,37457,37457,0,0
9.700171,1,4,8,30,4,16.666698,2.130500,3.972800,16.195601,1,37457,37457,0,0
9.716886,1,4,8,30,4,16.666901,2.124100,4.160100,16.693199,1,37457,37457,0,0
