experiment,seed,round,seat,winner,timeout,health_after,damage,reward
5,7,15,3,0,0,34,0,2
5,7,15,4,0,0,11,0,2
5,7,15,5,0,0,50,0,2
5,7,15,6,0,0,11,0,2
5,7,15,7,0,0,42,0,2
5,7,20,0,0,0,29,0,2
5,7,20,1,0,0,34,0,2
5,7,20,2,0,1,22,0,2
5,7,20,3,0,0,28,0,2
5,7,20,5,0,0,25,0,2
5,7,20,7,0,0,35,0,2
5,7,25,0,0,0,14,0,2
5,7,25,1,0,0,25,0,2
5,7,25,3,0,0,28,0,2
5,7,25,5,0,0,6,0,2
5,7,25,7,0,0,11,0,2
5,7,30,1,0,0,10,0,2
5,7,30,3,0,0,20,0,2
5,8,1,0,0,0,60,0,2
5,8,1,1,0,0,60,0,2
5,8,1,2,0,0,60,0,2
5,8,1,3,0,0,60,0,2
5,8,1,4,0,0,60,0,2
5,8,1,5,0,0,60,0,2
5,8,1,6,0,0,60,0,2
5,8,1,7,0,0,60,0,2
5,8,2,0,0,0,60,0,2
5,8,2,1,0,0,60,0,2
5,8,2,2,0,0,60,0,2
5,8,2,3,0,0,60,0,2
5,8,2,4,0,0,60,0,2
5,8,2,5,0,0,60,0,2
5,8,2,6,0,0,60,0,2
5,8,2,7,0,0,60,0,2
5,8,3,0,0,0,60,0,2
5,8,3,1,0,0,60,0,2
5,8,3,2,0,0,60,0,2
5,8,3,3,0,0,60,0,2
5,8,3,4,0,0,60,0,2
5,8,3,5,0,0,60,0,2
5,8,3,6,0,0,60,0,2
5,8,3,7,0,0,60,0,2
5,8,5,0,0,0,60,0,2
5,8,5,1,0,0,57,0,2
5,8,5,2,0,0,60,0,2
5,8,5,3,0,0,60,0,2
5,8,5,4,0,0,57,0,2
5,8,5,5,0,0,60,0,2
5,8,5,6,0,0,54,0,2
5,8,5,7,0,0,55,0,2
5,8,10,0,0,0,38,0,2
5,8,10,1,0,0,34,0,2
5,8,10,2,0,0,57,0,2
5,8,10,3,0,0,60,0,2
5,8,10,4,0,0,51,0,2
5,8,10,5,0,0,52,0,2
5,8,10,6,0,0,45,0,2
5,8,10,7,0,0,45,0,2
5,8,15,0,0,0,28,0,2
5,8,15,1,0,0,5,0,2
5,8,15,2,0,0,57,0,2
5,8,15,3,0,0,52,0,2
5,8,15,4,0,0,19,0,2
5,8,15,5,0,0,44,0,2
5,8,15,6,0,0,30,0,2
5,8,15,7,0,0,30,0,2
5,8,20,0,0,0,21,0,2
5,8,20,2,0,0,57,0,2
5,8,20,3,0,0,35,0,2
5,8,20,5,0,0,38,0,2
5,8,20,6,1,0,5,2,0
5,8,20,7,1,0,0,2,0
5,8,25,2,0,0,50,0,2
5,8,25,3,0,0,7,0,2
5,8,25,5,0,0,38,0,2
5,8,30,2,0,0,35,0,2
5,8,30,5,0,0,14,0,2
5,9,1,0,0,0,60,0,2
5,9,1,1,0,0,60,0,2
5,9,1,2,0,0,60,0,2
5,9,1,3,0,0,60,0,2
5,9,1,4,0,0,60,0,2
5,9,1,5,0,0,60,0,2
5,9,1,6,0,0,60,0,2
5,9,1,7,0,0,60,0,2
5,9,2,0,0,0,60,0,2
5,9,2,1,0,0,60,0,2
5,9,2,2,0,0,60,0,2
5,9,2,3,0,0,60,0,2
5,9,2,4,0,0,60,0,2
5,9,2,5,0,0,60,0,2
5,9,2,6,0,0,60,0,2
5,9,2,7,0,0,60,0,2
5,9,3,0,0,0,60,0,2
5,9,3,1,0,0,60,0,2
5,9,3,2,0,0,60,0,2
5,9,3,3,0,0,60,0,2
5,9,3,4,0,0,60,0,2
5,9,3,5,0,0,60,0,2
5,9,3,6,0,0,60,0,2
5,9,3,7,0,0,60,0,2
5,9,5,0,0,0,55,0,2
5,9,5,1,0,0,60,0,2
5,9,5,2,0,0,60,0,2
5,9,5,3,0,0,60,0,2
5,9,5,4,0,0,56,0,2
5,9,5,5,0,0,60,0,2
5,9,5,6,0,0,55,0,2
5,9,5,7,0,0,55,0,2
5,9,10,0,0,0,36,0,2
5,9,10,1,0,0,50,0,2
5,9,10,2,0,0,53,0,2
5,9,10,3,0,0,56,0,2
5,9,10,4,0,0,38,0,2
5,9,10,5,0,0,47,0,2
5,9,10,6,0,0,45,0,2
5,9,10,7,0,0,51,0,2
5,9,15,0,0,0,20,0,2
5,9,15,1,0,0,45,0,2
5,9,15,2,0,0,25,0,2
5,9,15,3,0,0,42,0,2
5,9,15,4,0,0,11,0,2
5,9,15,5,0,0,30,0,2
5,9,15,6,0,0,45,0,2
